customer_id,city,building_type,season,meter_type,building_area_sqft,occupants,average_temperature_c,humidity_percent,appliance_count,avg_daily_usage_hours,solar_panel,previous_month_kwh,monthly_consumption_kwh
CUST01357,Lalitpur,Commercial,Winter,Smart,5443.0,5.0,7.7,49.7,9.0,6.7,No,1449.2,1882.7
CUST00985,Bhaktapur,Office,Spring,Smart,4743.0,15.0,16.0,78.8,14.0,13.6,Yes,1794.2,2003.2
CUST00860,Kathmandu,Office,Summer,Standard,5140.0,14.0,26.4,59.6,17.0,8.4,No,635.3,2087.7
CUST01985,Lalitpur,Office,Spring,Smart,727.0,14.0,31.7,83.0,15.0,8.9,No,911.9,1735.3
CUST01294,Chitwan,Residential,Summer,Smart,5577.0,8.0,11.9,30.8,3.0,5.2,No,935.3,1308.8
CUST01470,Bhaktapur,Residential,Winter,Smart,963.0,5.0,7.7,82.9,9.0,8.1,No,1153.0,1046.4
CUST01211,Chitwan,Residential,Spring,Smart,4954.0,,14.1,87.5,5.0,10.8,Yes,1031.4,1238.5
CUST00368,Pokhara,Residential,Autumn,Smart,2255.0,8.0,19.3,77.8,18.0,12.8,No,485.1,1589.8
CUST01704,Lalitpur,Industrial,Summer,Smart,4353.0,9.0,30.5,73.5,14.0,5.6,No,918.5,2135.6
CUST01384,Chitwan,Residential,Winter,Smart,4832.0,9.0,9.8,32.0,14.0,7.0,No,1337.1,1745.6
CUST01788,Chitwan,Office,Summer,Standard,3594.0,4.0,33.1,53.7,19.0,17.9,Yes,1617.3,2317.8
CUST00252,Bhaktapur,Commercial,Summer,Smart,792.0,5.0,14.8,64.2,19.0,5.9,No,167.1,1304.4
CUST00472,Biratnagar,Residential,Summer,Smart,4485.0,3.0,16.6,39.9,20.0,18.0,No,942.6,2206.4
CUST00383,Chitwan,Office,Spring,Smart,5346.0,3.0,32.4,76.4,13.0,5.2,No,782.7,1762.4
CUST00018,Chitwan,Office,Summer,Standard,2765.0,8.0,22.6,52.5,17.0,9.9,No,1313.8,1987.2
CUST00619,Pokhara,Office,Winter,Standard,4820.0,5.0,13.7,53.3,19.0,16.3,No,389.7,2265.5
CUST01092,Kathmandu,Commercial,Autumn,Standard,,11.0,10.0,79.9,18.0,12.5,No,1373.5,2200.8
